country_name,year,happiness_score,life_expectancy
Switzerland,2015,7.587,0.94143
Iceland,2015,7.561,0.94784
Denmark,2015,7.527,0.87464
Norway,2015,7.522,0.88521
Canada,2015,7.427,0.90563
Denmark,2016,7.526,0.79504
Switzerland,2016,7.509,0.86303
Iceland,2016,7.501,0.86733
Norway,2016,7.498,0.79579
Finland,2016,7.413,0.81091
Norway,2017,7.537,0.796667
Denmark,2017,7.522,0.792566
Iceland,2017,7.504,0.833552
Switzerland,2017,7.494,0.858131
Finland,2017,7.469,0.809158
Finland,2018,7.632,0.874
Norway,2018,7.594,0.861
Denmark,2018,7.555,0.868
Iceland,2018,7.495,0.914
Switzerland,2018,7.487,0.927
Finland,2019,7.769,0.986
Denmark,2019,7.6,0.996
Norway,2019,7.554,1.028
Iceland,2019,7.494,1.026
Netherlands,2019,7.488,0.999
