country,avg_gdp,avg_fam,avg_le,avg_free,avg_govcorr,avg_gen
Switzerland,1.472,1.417,0.928,0.621,0.38,0.277
Iceland,1.387,1.493,0.918,0.618,0.14,0.419
Denmark,1.397,1.448,0.865,0.626,0.429,0.319
Norway,1.519,1.431,0.873,0.638,0.344,0.329
Canada,1.388,1.387,0.901,0.611,0.306,0.39
Finland,1.357,1.434,0.874,0.622,0.398,0.218
Netherlands,1.411,1.35,0.879,0.59,0.299,0.415
Sweden,1.404,1.369,0.899,0.618,0.398,0.337
"New Zealand",1.318,1.44,0.892,0.618,0.4,0.433
Australia,1.395,1.409,0.915,0.605,0.315,0.416
Israel,1.304,1.322,0.903,0.417,0.121,0.32
"Costa Rica",1.036,1.315,0.832,0.591,0.101,0.196
Austria,1.398,1.364,0.884,0.577,0.214,0.292
Mexico,1.079,1.083,0.772,0.437,0.139,0.104
"United States",1.456,1.329,0.822,0.507,0.141,0.355
Brazil,1.033,1.323,0.681,0.443,0.12,0.135
Luxembourg,1.638,1.343,0.903,0.584,0.337,0.246
Ireland,1.46,1.445,0.879,0.572,0.3,0.388
Belgium,1.375,1.357,0.883,0.539,0.238,0.209
"United Arab Emirates",1.533,1.143,0.773,0.603,0.312,0.288
"United Kingdom",1.338,1.368,0.882,0.504,0.244,0.425
Oman,1.36,1.082,0.763,0.633,0.325,0.215
Venezuela,1.052,1.323,0.684,0.214,0.071,0.057
Singapore,1.592,1.231,1.014,0.553,0.467,0.303
Panama,1.148,1.288,0.776,0.539,0.073,0.186
Germany,1.395,1.36,0.871,0.559,0.265,0.291
Chile,1.173,1.203,0.845,0.397,0.088,0.272
Qatar,1.744,1.17,0.769,0.604,0.356,0.291
France,1.344,1.318,0.916,0.488,0.183,0.117
Argentina,1.111,1.331,0.761,0.482,0.064,0.092
"Czech Republic",1.269,1.325,0.827,0.474,0.035,0.081
Uruguay,1.136,1.315,0.783,0.575,0.189,0.169
Colombia,0.993,1.303,0.672,0.492,0.045,0.137
Thailand,1.05,1.312,0.714,0.565,0.03,0.492
"Saudi Arabia",1.44,1.181,0.666,0.417,0.232,0.123
Spain,1.299,1.399,0.95,0.411,0.07,0.169
Malta,1.286,1.387,0.879,0.59,0.151,0.481
Taiwan,1.355,1.217,0.86,0.373,0.081,0.225
Kuwait,1.556,1.185,0.695,0.506,0.182,0.172
Suriname,1.046,0.875,0.559,0.559,0.132,0.168
"Trinidad and Tobago",1.3,1.183,0.554,0.521,0.011,0.321
"El Salvador",0.83,1.098,0.659,0.42,0.094,0.086
Guatemala,0.807,1.141,0.616,0.55,0.082,0.24
Uzbekistan,0.724,1.434,0.592,0.656,0.267,0.328
Slovakia,1.246,1.38,0.772,0.307,0.023,0.137
Japan,1.338,1.327,0.979,0.493,0.165,0.096
"South Korea",1.315,1.046,0.949,0.249,0.065,0.186
Ecuador,0.928,1.157,0.753,0.48,0.142,0.121
Bahrain,1.39,1.243,0.725,0.519,0.211,0.203
Italy,1.312,1.335,0.929,0.244,0.028,0.173
Bolivia,0.767,1.095,0.539,0.552,0.069,0.185
