year,family,life_expectancy,freedom,government_corruption,generosity,dystopia_residual,gdp_per_capita,happiness_rank,happiness_score,country_id
2015,1.34951,0.94143,0.66557,0.41978,0.29678,2.5174199999999995,1.39651,1,7.587,1
2015,1.40223,0.94784,0.62877,0.14145,0.4363,2.702089999999999,1.30232,2,7.561,2
2015,1.36058,0.87464,0.64938,0.48357,0.34139,2.4919600000000006,1.32548,3,7.527,3
2015,1.33095,0.88521,0.66973,0.36503,0.34699,2.46509,1.459,4,7.522,4
2015,1.32261,0.90563,0.63297,0.32957,0.45811,2.4518199999999997,1.32629,5,7.427,5
2015,1.31826,0.88911,0.64169,0.41372,0.23351,2.61946,1.29025,6,7.406,6
2015,1.28017,0.89284,0.61576,0.31814,0.4761,2.4655500000000004,1.32944,7,7.378,7
2015,1.28907,0.91087,0.6598,0.43844,0.36262,2.3714900000000005,1.33171,8,7.364,8
2015,1.31967,0.90837,0.63938,0.42922,0.47501,2.26417,1.25018,9,7.286,9
2015,1.30923,0.93156,0.65124,0.35637,0.43562,2.2664,1.33358,10,7.284,10
2015,1.22393,0.91387,0.41319,0.07785,0.33172,3.088869999999999,1.22857,11,7.278,11
2015,1.23788,0.86027,0.63376,0.10583,0.25497,3.17751,0.95578,12,7.226,12
2015,1.29704,0.89042,0.62433,0.18676,0.33088,2.533340000000001,1.33723,13,7.2,13
2015,0.91451,0.81444,0.48181,0.21312,0.14074,3.6018400000000006,1.02054,14,7.187,14
2015,1.24711,0.86179,0.54604,0.1589,0.40105,2.5096000000000007,1.39451,15,7.119,15
2015,1.23287,0.69702,0.49049,0.17521,0.14574,3.26043,0.98124,16,6.983,16
2015,1.21963,0.91894,0.61583,0.37798,0.28034,1.9693699999999996,1.56391,17,6.946,17
2015,1.36948,0.89533,0.61777,0.28703,0.45901,1.9754200000000006,1.33596,18,6.94,18
2015,1.28566,0.89667,0.5845,0.2254,0.2225,2.4144500000000004,1.30782,19,6.937,19
2015,1.12575,0.80925,0.64157,0.38583,0.26428,2.247049999999999,1.42727,20,6.901,20
2015,1.28548,0.90943,0.59625,0.32067,0.51912,1.9696800000000003,1.26637,21,6.867,21
2015,1.08182,0.76276,0.63274,0.32524,0.21542,2.4749099999999995,1.36011,22,6.853,22
2015,1.25596,0.72052,0.42908,0.11069,0.05841,3.1910999999999996,1.04424,23,6.81,23
2015,1.02,1.02525,0.54252,0.4921,0.31105,1.8852200000000012,1.52186,24,6.798,24
2015,1.1985,0.79661,0.5421,0.0927,0.24434,2.8482199999999986,1.06353,25,6.786,25
2015,1.29937,0.89186,0.61477,0.21843,0.28214,2.1155100000000004,1.32792,26,6.75,26
2015,1.12447,0.85857,0.44132,0.12869,0.33363,2.676169999999999,1.10715,27,6.67,27
2015,1.0786,0.79733,0.6404,0.52208,0.32573,1.5564399999999994,1.69042,28,6.611,28
